,Municipality,Municipality Latitude,Municipality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Toronto,43.6534817,-79.38393470000001,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
1,Toronto,43.6534817,-79.38393470000001,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
2,Toronto,43.6534817,-79.38393470000001,Indigo,43.65351471121164,-79.38069591056922,Bookstore
3,Toronto,43.6534817,-79.38393470000001,Eggspectation Bell Trinity Square,43.65314383888587,-79.38198016678167,Breakfast Spot
4,Toronto,43.6534817,-79.38393470000001,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
5,Toronto,43.6534817,-79.38393470000001,Textile Museum of Canada,43.65439630500274,-79.38650010906946,Art Museum
6,Toronto,43.6534817,-79.38393470000001,LUSH,43.653557,-79.3804,Cosmetics Shop
7,Toronto,43.6534817,-79.38393470000001,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
8,Toronto,43.6534817,-79.38393470000001,CF Toronto Eaton Centre,43.654540112988535,-79.38067738352993,Shopping Mall
9,Toronto,43.6534817,-79.38393470000001,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
10,Toronto,43.6534817,-79.38393470000001,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
11,Toronto,43.6534817,-79.38393470000001,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
12,Toronto,43.6534817,-79.38393470000001,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
13,Toronto,43.6534817,-79.38393470000001,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
14,Toronto,43.6534817,-79.38393470000001,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
15,Toronto,43.6534817,-79.38393470000001,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
16,Toronto,43.6534817,-79.38393470000001,Richmond Station,43.65156872562108,-79.37926594000328,American Restaurant
17,Toronto,43.6534817,-79.38393470000001,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
18,Toronto,43.6534817,-79.38393470000001,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
19,Toronto,43.6534817,-79.38393470000001,Sansotei Ramen 三草亭,43.655157467561246,-79.38650067479335,Ramen Restaurant
20,Toronto,43.6534817,-79.38393470000001,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
