,Municipality,Population,Area,Density
0,Addington Highlands,2323,1328.32,1.7
1,Adelaide-Metcalfe,2990,331.46,9.0
2,Adjala-Tosorontio,10975,372.34,29.5
3,Admaston/Bromley,2935,524.06,5.6
4,Ajax,119677,67.0,1786.2
5,Alberton,969,116.66,8.3
6,Alfred and Plantagenet,9680,392.31,24.7
7,Algonquin Highlands,2351,1007.2,2.3
8,Alnwick/Haldimand,6869,398.45,17.2
9,Amaranth,4079,264.58,15.4
10,Amherstburg,21936,185.61,118.2
11,Archipelago,531,606.14,0.9
12,Armour,1414,164.64,8.6
13,Armstrong,1166,90.2,12.9
14,Arnprior,8795,13.07,672.9
15,Arran-Elderslie,6803,460.07,14.8
16,Ashfield-Colborne-Wawanosh,5422,586.97,9.2
17,Asphodel-Norwood,4109,161.02,25.5
18,Assiginack,1013,226.72,4.5
19,Athens,3013,127.88,23.6
20,Atikokan,2753,319.52,8.6
21,Augusta,7353,314.66,23.4
22,Aurora,55445,49.85,1112.2
23,Aylmer,7492,6.26,1196.8
24,Baldwin,605,83.2,7.3
25,Bancroft,3881,229.51,16.9
26,Barrie,141434,99.04,1428.0
27,Bayham,7396,244.97,30.2
28,Beckwith,7644,240.47,31.8
29,Belleville,50716,247.25,205.1
30,Billings,603,209.64,2.9
31,Black River-Matheson,2438,1163.45,2.1
32,Blandford-Blenheim,7399,382.33,19.4
33,Blind River,3472,525.65,6.6
34,Blue Mountains,7025,287.24,24.5
35,Bluewater,7136,417.0,17.1
36,Bonfield,1975,208.38,9.5
37,Bonnechere Valley,3674,593.75,6.2
38,Bracebridge,16010,628.22,25.5
39,Bradford West Gwillimbury,35325,201.04,175.7
40,Brampton,593638,266.36,2228.7
41,Brant,36707,843.25,43.5
42,Brantford,97496,72.44,1345.9
43,Brethour,97,82.08,1.2
44,Brighton,11844,222.71,53.2
45,Brock,11642,423.34,27.5
46,Brockton,9461,565.18,16.7
47,Brockville,21346,20.85,1023.8
48,Brooke-Alvinston,2411,311.31,7.7
49,Bruce Mines,582,6.22,93.6
50,Brudenell Lyndoch and Raglan,1503,706.24,2.1
51,Burk's Falls,981,3.07,319.5
52,Burlington,183314,185.66,987.4
53,Burpee and Mills,343,218.49,1.6
54,Caledon,66502,688.16,96.6
55,Callander,3863,105.98,36.5
56,Calvin,516,140.98,3.7
57,Cambridge,129920,113.01,1149.6
58,Carleton Place,10644,9.05,1176.1
59,Carling,1125,248.85,4.5
60,Carlow/Mayo,864,390.79,2.2
61,Casey,368,80.86,4.6
62,Casselman,3548,5.12,693.0
63,Cavan-Monaghan,8829,306.33,28.8
64,Central Elgin,12607,280.33,45.0
65,Central Frontenac,4373,1025.2,4.3
66,Central Huron,7576,449.58,16.9
67,Central Manitoulin,2084,431.11,4.8
68,Centre Hastings,4774,222.86,21.4
69,Centre Wellington,28191,407.54,69.2
70,Chamberlain,332,110.59,3.0
71,Champlain,8706,207.27,42.0
72,Chapleau,1964,14.22,138.1
73,Chapple,638,527.94,1.2
74,Charlton and Dack,686,92.72,7.4
75,Chatham-Kent,101647,2457.9,41.4
76,Chatsworth,6630,596.19,11.1
77,Chisholm,1291,206.73,6.2
78,Clarence-Rockland,24512,297.71,82.3
79,Clarington,92013,611.4,150.5
80,Clearview,14151,557.1,25.4
81,Cobalt,1128,2.08,542.3
82,Cobourg,19440,22.36,869.4
83,Cochrane,5321,539.12,9.9
84,Cockburn Island,0,171.04,0.0
85,Coleman,595,178.89,3.3
86,Collingwood,21793,33.78,645.1
87,Conmee,819,169.13,4.8
88,Cornwall,46589,61.56,756.8
89,Cramahe,6355,202.16,31.4
90,Dawn-Euphemia,1967,445.12,4.4
91,Dawson,468,339.5,1.4
92,Deep River,4109,50.13,82.0
93,Deseronto,1774,2.51,706.8
94,Dorion,316,212.11,1.5
95,Douro-Dummer,6709,458.95,14.6
96,Drummond/North Elmsley,7773,366.13,21.2
97,Dryden,7749,66.19,117.1
98,Dubreuilville,613,89.5,6.8
99,Dutton/Dunwich,3866,294.58,13.1
100,Dysart Dudley Harcourt,6280,1485.98,4.2
101,Ear Falls,995,330.96,3.0
102,East Ferris,4750,155.17,30.6
103,East Garafraxa,2579,166.07,15.5
104,East Gwillimbury,23991,245.04,97.9
105,East Hawkesbury,3296,235.01,14.0
106,East Zorra-Tavistock,7129,242.3,29.4
107,Edwardsburgh/Cardinal,7093,311.25,22.8
108,Elizabethtown-Kitley,9854,557.71,17.7
109,Elliot Lake,10741,714.65,15.0
110,Emo,1333,203.09,6.6
111,Englehart,1479,3.02,489.7
112,Enniskillen,2796,338.16,8.3
113,Erin,11439,297.76,38.4
114,Espanola,5048,82.82,61.0
115,Essa,21083,280.03,75.3
116,Essex,20427,277.97,73.5
117,Evanturel,449,89.31,5.0
118,Faraday,1401,219.62,6.4
119,Fauquier-Strickland,536,1013.25,0.5
120,Fort Erie,30710,166.27,184.7
121,Fort Frances,7739,25.51,303.4
122,French River,2662,735.48,3.6
123,Front of Yonge,2607,128.47,20.3
124,Frontenac Islands,1760,175.04,10.1
125,Gananoque,5159,7.03,733.9
126,Gauthier,138,88.41,1.6
127,Georgian Bay,2499,547.61,4.6
128,Georgian Bluffs,10479,604.37,17.3
129,Georgina,45418,287.75,157.8
130,Gillies,474,93.05,5.1
131,Goderich,7628,8.64,882.9
132,Gordon/Barrie Island,490,267.77,1.8
133,Gore Bay,867,5.23,165.8
134,Grand Valley,2956,158.23,18.7
135,Gravenhurst,12311,518.06,23.8
136,Greater Madawaska,2518,1035.59,2.4
137,Greater Napanee,15892,461.17,34.5
138,Greater Sudbury,161531,3228.35,50.0
139,Greenstone,4636,2767.19,1.7
140,Grey Highlands,9804,882.51,11.1
141,Grimsby,27314,68.93,396.3
142,Guelph/Eramosa,12854,291.67,44.1
143,Guelph,131794,87.22,1511.1
144,Haldimand,45608,1251.54,36.4
145,Halton Hills,61161,276.27,221.4
146,Hamilton,536917,1117.29,480.6
147,Hamilton,10942,256.08,42.7
148,Hanover,7688,9.8,784.5
149,Harley,551,92.3,6.0
150,Harris,545,49.88,10.9
151,Hastings Highlands,4078,972.35,4.2
152,Havelock-Belmont-Methuen,4530,542.73,8.3
153,Hawkesbury,10263,9.62,1066.8
154,Head Clara and Maria,248,728.38,0.3
155,Hearst,5070,98.52,51.5
156,Highlands East,3343,704.63,4.7
157,Hilliard,223,91.38,2.4
158,Hilton,307,115.82,2.7
159,Hilton Beach,171,2.62,65.3
160,Hornepayne,980,204.07,4.8
161,Horton,2887,158.51,18.2
162,Howick,3873,287.06,13.5
163,Hudson,503,90.37,5.6
164,Huntsville,19816,710.01,27.9
165,Huron East,9138,669.22,13.7
166,Huron Shores,1664,457.35,3.6
167,Huron-Kinloss,7069,440.76,16.0
168,Ignace,1202,72.82,16.5
169,Ingersoll,12757,12.75,1000.5
170,Innisfil,36566,262.71,139.2
171,Iroquois Falls,4537,600.01,7.6
172,James,420,86.36,4.9
173,Jocelyn,313,131.45,2.4
174,Johnson,751,120.27,6.2
175,Joly,304,194.73,1.6
176,Kapuskasing,8292,84.37,98.3
177,Kawartha Lakes,75423,3084.38,24.5
178,Kearney,882,532.0,1.7
179,Kenora,15096,211.59,71.3
180,Kerns,358,90.64,3.9
181,Killaloe Hagarty and Richards,2420,396.8,6.1
182,Killarney,386,1653.32,0.2
183,Kincardine,11389,537.94,21.2
184,King,24512,333.25,73.6
185,Kingston,123798,451.19,274.4
186,Kingsville,21552,246.83,87.3
187,Kirkland Lake,7981,262.13,30.4
188,Kitchener,233222,136.77,1705.2
189,La Vallee,938,237.84,3.9
190,Laird,1047,102.48,10.2
191,Lake of Bays,3167,677.91,4.7
192,Lake of the Woods,230,751.31,0.3
193,Lakeshore,36611,530.33,69.0
194,Lambton Shores,10631,331.2,32.1
195,Lanark Highlands,5338,1048.83,5.1
196,Larder Lake,730,229.52,3.2
197,LaSalle,30180,65.35,461.8
198,Latchford,313,153.53,2.0
199,Laurentian Hills,2961,642.03,4.6
200,Laurentian Valley,9387,551.43,17.0
201,Leamington,27595,262.01,105.3
202,Leeds and the Thousand Islands,9465,612.45,15.5
203,Limerick,346,205.37,1.7
204,Lincoln,23787,162.81,146.1
205,London,383822,420.35,913.1
206,Loyalist,16971,341.02,49.8
207,Lucan Biddulph,4700,169.14,27.8
208,Macdonald Meredith and,1609,164.05,9.8
209,Machar,882,184.35,4.8
210,Machin,971,291.81,3.3
211,Madawaska Valley,4123,672.51,6.1
212,Madoc,2078,277.97,7.5
213,Magnetawan,1390,531.53,2.6
214,Malahide,9292,395.05,23.5
215,Manitouwadge,1937,352.07,5.5
216,Mapleton,10527,534.87,19.7
217,Marathon,3273,170.54,19.2
218,Markham,328966,212.35,1549.2
219,Markstay-Warren,2656,512.78,5.2
220,Marmora and Lake,3953,557.08,7.1
221,Matachewan,225,543.58,0.4
222,Mattawa,1993,3.66,544.5
223,Mattawan,161,201.0,0.8
224,Mattice-Val Côté,648,414.0,1.6
225,McDougall,2702,268.48,10.1
226,McGarry,609,86.67,7.0
227,McKellar,1111,180.88,6.1
228,McMurrich/Monteith,824,277.92,3.0
229,McNab/Braeside,7178,255.76,28.1
230,Meaford,10991,588.57,18.7
231,Melancthon,3008,310.79,9.7
232,Merrickville-Wolford,3067,214.55,14.3
233,Middlesex Centre,17262,588.11,29.4
234,Midland,16864,35.34,477.2
